modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"fe3c1b36-ac7b-4dcb-a618-4f05d7cf86f1","model_10_auto.bpmn",0.598300,0.356700,0.785700,0.544500,0.527414,0.446939
"f9a6eb52-755b-4e83-a874-b4dc36e9b21c","model_9_auto.bpmn",0.608000,0.356700,0.811300,0.569200,0.537804,0.449619
"534d24df-f919-4203-aa85-47d4562c523d","model_8_auto.bpmn",0.688500,0.437600,0.795900,0.550800,0.587406,0.535099
"e2a8ebc4-ae43-4b75-9c47-c51430e69362","model_7_auto.bpmn",0.614300,0.375000,0.793100,0.614000,0.556787,0.465708
"e76f6731-1051-4bad-8dc0-1eb7f197e3e3","model_6_auto.bpmn",0.543600,0.600000,0.811300,0.558800,0.612708,0.570409
"5533196b-585e-4f9f-843f-4f3e75a212eb","model_5_auto.bpmn",0.475000,0.000000,0.777800,0.550200,0.000000,0.000000
"5c7b655e-2802-4fe0-a94c-50d69cbe9d90","model_4_auto.bpmn",0.470800,0.750000,0.795900,0.458600,0.580184,0.578473
"5301d1f5-c763-43ad-b4aa-3fb8ce843f1b","model_3_auto.bpmn",0.511800,0.500000,0.785700,0.599200,0.580086,0.505831
"7b2ca1d2-2f39-4376-87ea-dba59c969c36","model_2_auto.bpmn",0.511800,0.500000,0.785700,0.599200,0.580086,0.505831
"4d554a56-0769-453a-adcd-fc312149a397","model_1_auto.bpmn",0.584400,0.437600,0.803900,0.550800,0.566907,0.500457
